file,RandomForest(before preprocessing),KNN,RandomForest(after preprocessing)
commons-compress-1.10_aggregated.csv,0.7209833405591494,0.8185973950585931,0.8097919123521132
commons-compress-1.11_aggregated.csv,0.8252064021068455,0.8781089152247504,0.8792568809857029
commons-compress-1.12_aggregated.csv,1.0,1.0,1.0
commons-compress-1.13_aggregated.csv,0.6259429355167183,0.6218487394957983,0.6820782995730766
commons-compress-1.14_aggregated.csv,0.9075885224944938,0.9510718754150154,0.9075885224944938
commons-compress-1.15_aggregated.csv,0.95209259543155,0.9465526456440406,1.0
commons-compress-1.16_aggregated.csv,0.6996996996996997,0.8101746393318148,0.8599962665671085
commons-compress-1.1_aggregated.csv,0.33148128890407497,0.5899958999589996,0.5023169908979308
commons-compress-1.2_aggregated.csv,0.4978407150748217,0.8290176111860479,1.0
commons-compress-1.3_aggregated.csv,0.4624894417568916,0.6696790805220765,0.6596234912156678
commons-compress-1.4_aggregated.csv,0.5579524356820794,0.6886426415877629,0.7635055238352647
commons-compress-1.5_aggregated.csv,0.4154000334057124,0.5870729544930107,0.6523552928906657
commons-compress-1.6_aggregated.csv,0.4752254890476748,0.7145589221744901,0.7866157254049221
commons-compress-1.7_aggregated.csv,0.6035342093339374,0.616217549823186,0.7458784663765445
commons-compress-1.8_aggregated.csv,0.5473808709146409,0.4703643640967569,0.514247849754748
commons-compress-1.9_aggregated.csv,0.5632830198979174,0.6233841518574176,0.7756053046905971
commons-configuration-1.0_aggregated.csv,0.4240294896901279,0.7378493157867142,0.5842860112242777
commons-configuration-1.10_aggregated.csv,0.9324027444485754,0.9333333333333332,0.9324027444485754
commons-configuration-1.1_aggregated.csv,0.4083423725470861,0.6545257131576351,0.539573645195451
commons-configuration-1.2_aggregated.csv,0.30901050304035377,0.44521497919556174,0.3433053630062021
commons-configuration-1.3_aggregated.csv,0.01909495160868431,0.2262191347410413,0.3138854236637559
commons-configuration-1.4_aggregated.csv,0.5279166135885082,0.7725093839879106,0.6456937022055567
commons-configuration-1.5_aggregated.csv,0.515386479282772,0.6552912788693553,0.7916294576412456
commons-configuration-1.6_aggregated.csv,0.734765599098203,0.7735897878212868,0.9184885974604672
commons-configuration-1.7_aggregated.csv,0.767349109279447,0.8771884338796174,0.8828506345590628
commons-configuration-1.8_aggregated.csv,0.7414573189123971,0.7848768419920404,0.8323565775595309
commons-configuration-1.9_aggregated.csv,0.8239320377665779,0.8329760877432286,0.8329760877432286
commons-configuration-2.0_aggregated.csv,0.9218139171227522,0.8877917414721722,0.8879614587418071
commons-configuration-2.1_aggregated.csv,0.9190866501064008,1.0,0.9206506645506844
commons-configuration-2.2_aggregated.csv,0.8465728203751295,0.8827380661552743,0.8851190932067092
commons-dbcp-1.0_aggregated.csv,-1.0,-1.0,-1.0
